"census_id","state","year","population","poverty_perc"
1,"Alabama",1910,2138093,15.7
2,"Alabama",1920,2348174,15.7
3,"Alabama",1930,2646248,15.7
4,"Alabama",1940,2832961,15.7
5,"Alabama",1950,3061743,15.7
6,"Alabama",1960,3266740,15.7
7,"Alabama",1970,3444165,15.7
8,"Alabama",1980,3893888,15.7
9,"Alabama",1990,4040587,15.7
10,"Alabama",2000,4447100,15.7
11,"Alabama",2010,4779736,15.7
12,"Alabama",2020,5024279,15.7
13,"Alaska",1910,64356,10.5
14,"Alaska",1920,55036,10.5
15,"Alaska",1930,59278,10.5
16,"Alaska",1940,72524,10.5
17,"Alaska",1950,128643,10.5
18,"Alaska",1960,226167,10.5
19,"Alaska",1970,300382,10.5
20,"Alaska",1980,401851,10.5
21,"Alaska",1990,550043,10.5
22,"Alaska",2000,626932,10.5
23,"Alaska",2010,710231,10.5
24,"Alaska",2020,733391,10.5
25,"Arizona",1910,204354,12.6
26,"Arizona",1920,334162,12.6
27,"Arizona",1930,435573,12.6
28,"Arizona",1940,499261,12.6
29,"Arizona",1950,749587,12.6
30,"Arizona",1960,1302161,12.6
31,"Arizona",1970,1770900,12.6
32,"Arizona",1980,2718215,12.6
33,"Arizona",1990,3665228,12.6
34,"Arizona",2000,5130632,12.6
35,"Arizona",2010,6392017,12.6
36,"Arizona",2020,7151502,12.6
37,"Arkansas",1910,1574449,15.4
38,"Arkansas",1920,1752204,15.4
39,"Arkansas",1930,1854482,15.4
40,"Arkansas",1940,1949387,15.4
41,"Arkansas",1950,1909511,15.4
42,"Arkansas",1960,1786272,15.4
43,"Arkansas",1970,1923295,15.4
44,"Arkansas",1980,2286435,15.4
45,"Arkansas",1990,2350725,15.4
46,"Arkansas",2000,2673400,15.4
47,"Arkansas",2010,2915918,15.4
48,"Arkansas",2020,3011524,15.4
49,"California",1910,2377549,12
50,"California",1920,3426861,12
51,"California",1930,5677251,12
52,"California",1940,6907387,12
53,"California",1950,10586223,12
54,"California",1960,15717204,12
55,"California",1970,19953134,12
56,"California",1980,23667902,12
57,"California",1990,29760021,12
58,"California",2000,33871648,12
59,"California",2010,37253956,12
60,"California",2020,39538223,12
61,"Colorado",1910,799024,9.4
62,"Colorado",1920,939629,9.4
63,"Colorado",1930,1035791,9.4
64,"Colorado",1940,1123296,9.4
65,"Colorado",1950,1325089,9.4
66,"Colorado",1960,1753947,9.4
67,"Colorado",1970,2207259,9.4
68,"Colorado",1980,2889964,9.4
69,"Colorado",1990,3294394,9.4
70,"Colorado",2000,4301261,9.4
71,"Colorado",2010,5029196,9.4
72,"Colorado",2020,5773714,9.4
73,"Connecticut",1910,1114756,10.2
74,"Connecticut",1920,1380631,10.2
75,"Connecticut",1930,1606903,10.2
76,"Connecticut",1940,1709242,10.2
77,"Connecticut",1950,2007280,10.2
78,"Connecticut",1960,2535234,10.2
79,"Connecticut",1970,3031709,10.2
80,"Connecticut",1980,3107576,10.2
81,"Connecticut",1990,3287116,10.2
82,"Connecticut",2000,3405565,10.2
83,"Connecticut",2010,3574097,10.2
84,"Connecticut",2020,3605944,10.2
85,"Delaware",1910,202322,10.8
86,"Delaware",1920,223003,10.8
87,"Delaware",1930,238380,10.8
88,"Delaware",1940,266505,10.8
89,"Delaware",1950,318085,10.8
