"outbreak_id","year","month","state","primary_mode","etiology","etiology_status","setting","illnesses","hospitalizations","deaths","ifsac_category","etiology_category","setting_category"
1,1971,2,"California","Water","Copper","Confirmed","Restaurant",2,0,0,,"Chemical","Food Service"
2,1971,6,"Arkansas","Water","Hepatitis A","Confirmed","Store",98,0,0,,"Viral","Other"
3,1971,6,"Missouri","Water","Unknown","Suspected","Subdivision/Neighborhood",2,0,0,,"Unknown","Other"
4,1971,6,"Alabama","Water","Selenium","Confirmed","Unknown",3,0,0,,"Chemical","Unknown"
5,1971,6,"Vermont","Water","Unknown","Suspected","Community/municipality",3,0,0,,"Unknown","Other"
6,1971,6,"Oregon","Water","Unknown","Suspected","Restaurant",200,0,0,,"Unknown","Food Service"
7,1971,7,"New Jersey","Water","Hepatitis A","Confirmed","Camp/cabin",22,0,0,,"Viral","Event"
8,1971,7,"Mississippi","Water","Shigella sonnei","Confirmed","Camp/cabin",187,0,0,,"Bacterial","Event"
9,1971,7,"Kentucky","Water","Unknown","Suspected","Park - State Park",68,0,0,,"Unknown","Recreation"
10,1971,7,"California","Water","Unknown","Suspected","Community/municipality",0,0,0,,"Unknown","Other"
11,1971,8,"New Jersey","Water","Shigella sonnei","Confirmed","Camp/cabin",67,0,0,,"Bacterial","Event"
12,1971,8,"Oklahoma","Water","Hepatitis A","Confirmed","Unknown",6,0,0,,"Viral","Unknown"
13,1971,8,"New Mexico","Water","Unknown","Suspected","Other",10,0,0,,"Unknown","Other"
14,1971,9,"North Carolina","Water","Hepatitis A","Confirmed","Private home/residence",2,0,0,,"Viral","Home"
15,1971,9,"North Carolina","Water","Unknown","Suspected","Mobile home/trailer park",38,0,1,,"Unknown","Recreation"
16,1971,11,"Oklahoma","Water","Hepatitis A","Confirmed","Community/municipality",50,0,0,,"Viral","Other"
17,1971,11,"New York","Water","Unknown","Suspected","Restaurant",750,0,0,,"Unknown","Food Service"
18,1971,11,"Alaska","Water","Shigella sonnei","Confirmed","Mobile home/trailer park",89,0,0,,"Bacterial","Recreation"
